"","station_id","station_name","sub_district","district","province","latitude","longitude","f1_score","rmse"
"114",566201,"เกาะลันตา","เกาะลันตาน้อย","เกาะลันตา","กระบี่",7.54,99.05,72.937562118307,13.7292509489624
"115",566202,"กระบี่","เขาพนม","เขาพนม","กระบี่",8.1,98.98,74.1176622289333,12.2456988455401
"116",567201,"ตรัง","บางหมาก","กันตัง","ตรัง",7.51,99.62,76.0230450687353,12.2926318607528
"117",568301,"คอหงษ์ (1)","คอหงส์","หาดใหญ่","สงขลา",7.02,100.5,71.7094620132748,13.2372729196228
"118",568401,"สะเดา (2)","สะเดา","สะเดา","สงขลา",6.79,100.41,56.478208824249,10.7014501525318
"119",568501,"สงขลา","เกาะแต้ว","เมืองสงขลา","สงขลา",7.18,100.6,68.7466072105571,15.6869083394947
"120",568502,"หาดใหญ่","คอหงส์","หาดใหญ่","สงขลา",6.94,100.4,72.4585879930308,11.229407480704
"121",570201,"สตูล","ควนกาหลง","ควนกาหลง","สตูล",6.65,100.08,75.2074624807078,12.8805571578245
"122",580201,"ปัตตานี","เกาะจัน","มายอ","ปัตตานี",6.79,101.15,68.4205345299719,13.0186939922041
"123",581301,"ยะลา","บันนังสตา","บันนังสตา","ยะลา",6.52,101.27,72.044221845834,14.8261242018639
"124",583201,"นราธิวาส","บองอ","ระแงะ","นราธิวาส",6.43,101.83,72.836324236269,17.6255774691708
